,Index,Date,Unemployment Rate - Seasonally Adjusted,Labor Force Participation Rate - Seasonally Adjusted,Real Gross Domestic Product - Seasonally Adjusted,Personal Spending on Transportation - Transportation Services - Seasonally Adjusted,U.S. Airline Traffic - Total - Seasonally Adjusted,U.S. Airline Traffic - International - Seasonally Adjusted,U.S. Airline Traffic - Domestic - Seasonally Adjusted,Transit Ridership - Other Transit Modes - Adjusted,Transit Ridership - Fixed Route Bus - Adjusted,Transit Ridership - Urban Rail - Adjusted,State and Local Government Construction Spending - Line,State and Local Government Construction Spending - Highway and Street,State and Local Government Construction Spending - Transportation,State and Local Government Construction Spending - Bridge,State and Local Government Construction Spending - Mass Transit,State and Local Government Construction Spending - Air,State and Local Government Construction Spending - Parking,State and Local Government Construction Spending - Infrastructure,State and Local Government Construction Spending - Total,State and Local Government Construction Spending - Instructional,State and Local Government Construction Spending - Dormitory,State and Local Government Construction Spending - Other Educational,State and Local Government Construction Spending - Higher Education,State and Local Government Construction Spending - High School,State and Local Government Construction Spending - Middle School / Junior High,State and Local Government Construction Spending - Elementary Schools,State and Local Government Construction Spending - Primary/Secondary Schools,State and Local Government Construction Spending - Educational,Time,Month_Year,Month_Year_nocommas,Year
696,696,01/01/2005 12:00:00 AM,0.053,0.658,14771600000000.0,350326000000.0,16588025000000.0,16588025000000.0,16588025000000.0,11611875.0,416054551.0,311945546.0,349000000.0,2929000000.0,1125000000.0,726000000.0,224000000.0,559000000.0,92000000.0,85000000.0,13130000000.0,614000000.0,171000000.0,203000000.0,1141000000.0,1182000000.0,546000000.0,925000000.0,2739000000.0,4129000000.0,2005-01-01 12:00:00,"January, 2005",January 2005,2005
697,697,02/01/2005 12:00:00 AM,0.054,0.659,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,11445295.0,403144202.0,305374953.0,381000000.0,3120000000.0,1111000000.0,860000000.0,246000000.0,577000000.0,99000000.0,79000000.0,13194000000.0,670000000.0,158000000.0,199000000.0,1211000000.0,1133000000.0,594000000.0,896000000.0,2695000000.0,4146000000.0,2005-02-01 12:00:00,"February, 2005",February 2005,2005
698,698,03/01/2005 12:00:00 AM,0.052,0.659,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,13310572.0,473893673.0,349880600.0,391000000.0,3583000000.0,1153000000.0,884000000.0,264000000.0,556000000.0,98000000.0,93000000.0,14466000000.0,745000000.0,189000000.0,216000000.0,1343000000.0,1299000000.0,592000000.0,959000000.0,2933000000.0,4550000000.0,2005-03-01 12:00:00,"March, 2005",March 2005,2005
699,699,04/01/2005 12:00:00 AM,0.052,0.661,14839800000000.0,352076000000.0,16588025000000.0,16588025000000.0,16588025000000.0,12907373.0,443809746.0,335620384.0,462000000.0,4320000000.0,1262000000.0,1106000000.0,268000000.0,664000000.0,122000000.0,75000000.0,16319000000.0,765000000.0,195000000.0,288000000.0,1384000000.0,1482000000.0,656000000.0,1089000000.0,3330000000.0,5065000000.0,2005-04-01 12:00:00,"April, 2005",April 2005,2005
700,700,05/01/2005 12:00:00 AM,0.051,0.661,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,12763833.0,455794647.0,342804244.0,545000000.0,5557000000.0,1273000000.0,1282000000.0,287000000.0,687000000.0,124000000.0,94000000.0,18699000000.0,762000000.0,279000000.0,262000000.0,1537000000.0,1611000000.0,730000000.0,1188000000.0,3634000000.0,5530000000.0,2005-05-01 12:00:00,"May, 2005",May 2005,2005
701,701,06/01/2005 12:00:00 AM,0.05,0.661,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,13209072.0,425623606.0,347032914.0,573000000.0,6479000000.0,1376000000.0,1369000000.0,262000000.0,813000000.0,126000000.0,114000000.0,20786000000.0,864000000.0,267000000.0,259000000.0,1686000000.0,1970000000.0,859000000.0,1446000000.0,4361000000.0,6386000000.0,2005-06-01 12:00:00,"June, 2005",June 2005,2005
702,702,07/01/2005 12:00:00 AM,0.05,0.661,14972100000000.0,353421000000.0,16588025000000.0,16588025000000.0,16588025000000.0,13521836.0,424058723.0,327366213.0,564000000.0,6699000000.0,1447000000.0,1342000000.0,293000000.0,828000000.0,109000000.0,123000000.0,21178000000.0,841000000.0,266000000.0,213000000.0,1678000000.0,2208000000.0,910000000.0,1499000000.0,4720000000.0,6693000000.0,2005-07-01 12:00:00,"July, 2005",July 2005,2005
703,703,08/01/2005 12:00:00 AM,0.049,0.662,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,14296142.0,442130056.0,340440029.0,665000000.0,7236000000.0,1593000000.0,1541000000.0,295000000.0,931000000.0,136000000.0,114000000.0,22404000000.0,847000000.0,282000000.0,225000000.0,1720000000.0,2237000000.0,965000000.0,1577000000.0,4851000000.0,6880000000.0,2005-08-01 12:00:00,"August, 2005",August 2005,2005
704,704,09/01/2005 12:00:00 AM,0.05,0.661,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,13164273.0,463465350.0,338889664.0,618000000.0,7249000000.0,1581000000.0,1436000000.0,276000000.0,919000000.0,130000000.0,96000000.0,21563000000.0,835000000.0,296000000.0,236000000.0,1783000000.0,1889000000.0,811000000.0,1220000000.0,4006000000.0,6110000000.0,2005-09-01 12:00:00,"September, 2005",September 2005,2005
705,705,10/01/2005 12:00:00 AM,0.05,0.661,15066600000000.0,350910000000.0,16588025000000.0,16588025000000.0,16588025000000.0,12724915.0,475619140.0,352622258.0,651000000.0,6481000000.0,1599000000.0,1334000000.0,275000000.0,927000000.0,121000000.0,123000000.0,20424000000.0,779000000.0,248000000.0,245000000.0,1554000000.0,1760000000.0,815000000.0,1205000000.0,3858000000.0,5721000000.0,2005-10-01 12:00:00,"October, 2005",October 2005,2005
706,706,11/01/2005 12:00:00 AM,0.05,0.66,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,12004340.0,438362844.0,344979889.0,555000000.0,5420000000.0,1483000000.0,1237000000.0,255000000.0,848000000.0,103000000.0,75000000.0,18555000000.0,782000000.0,235000000.0,205000000.0,1474000000.0,1652000000.0,829000000.0,1181000000.0,3717000000.0,5449000000.0,2005-11-01 12:00:00,"November, 2005",November 2005,2005
707,707,12/01/2005 12:00:00 AM,0.049,0.66,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,16588025000000.0,11726417.0,411892658.0,316587280.0,481000000.0,4084000000.0,1254000000.0,1127000000.0,263000000.0,684000000.0,96000000.0,65000000.0,16143000000.0,771000000.0,331000000.0,185000000.0,1521000000.0,1469000000.0,762000000.0,1066000000.0,3341000000.0,5093000000.0,2005-12-01 12:00:00,"December, 2005",December 2005,2005
